,총수익률,CAGR,연변동성,샤프,소르티노,MDD,칼마,승률,손익비,거래수,노출도
A_추세정배열,-0.9553436806107112,-0.1809081383670449,0.042331913202570286,-4.692952380326473,-3.6676425580664804,-0.9553706040696364,-0.18935912157692744,0.2290037052284891,0.5078573850805224,9716.0,0.46118927251113634
B_RangeFilter돌파,-0.9874407072118676,-0.244963712968282,0.04027563456032963,-6.956470952282278,-5.836569782577011,-0.9874752278592662,-0.24807074249278682,0.23822654379217764,0.4343591708529746,13781.0,0.46749552585857795
C_RQK+수급,-0.9999973252541281,-0.5611932106799508,0.05254617818529588,-15.64904887257549,-17.379184277923567,-0.9999973263553673,-0.561194711115178,0.17714430508045104,0.33154728293889424,39465.0,0.7593761022063722
