,총수익률,CAGR,연변동성,샤프,소르티노,MDD,칼마,승률,손익비,거래수,노출도
A_추세정배열,-0.9616152996160332,-0.18883293614024732,0.016232412529241194,-12.884614061464708,-10.715760763228333,-0.9617254866712909,-0.19634806268245308,0.10518518518518519,0.19684636837447023,9450.0,0.5021767316692413
B_RangeFilter돌파,-0.986259290280999,-0.24060127963290556,0.015278958199286647,-18.00578449603477,-14.151842332026535,-0.986294570439054,-0.24394464579258576,0.0781533987640858,0.11978160278047839,13755.0,0.3855868684130597
C_RQK+수급,-0.9999999126997955,-0.6477509345854241,0.022358174816997874,-46.65582596959884,-57.441853297553735,-0.99999991289253,-0.6477509910093742,0.05033015407190022,0.07275059335019707,47705.0,0.7568135130456934
